workload,scheduler,total_activations,deadline_misses,miss_rate_percent,avg_response_ms,jitter_ms,test_duration_ms
light_load,EDF,188,0,0,28.09,11.18,1000
light_load,Weighted_EDF,188,0,0,28.09,11.18,1000
light_load,WSRT,188,0,0,34.68,18.49,1000
light_load,RMS,188,0,0,28.09,11.18,1000
light_load,LLF,188,0,0,28.09,11.18,1000
light_load,PFS,187,0,0,28.13,11.20,1000
heavy_load,EDF,384,0,0,57.47,68.52,1000
heavy_load,Weighted_EDF,384,0,0,57.47,68.52,1000
heavy_load,WSRT,319,25,7.83,44.73,20.60,1000
heavy_load,RMS,384,0,0,57.47,68.52,1000
heavy_load,LLF,384,0,0,57.47,68.52,1000
heavy_load,PFS,221,27,12.21,56.83,45.84,1000
high_low,EDF,311,0,0,29.36,14.33,1000
high_low,Weighted_EDF,311,0,0,28.78,12.10,1000
high_low,WSRT,309,0,0,39.90,18.27,1000
high_low,RMS,311,0,0,32.48,11.62,1000
high_low,LLF,311,0,0,29.36,14.33,1000
high_low,PFS,308,0,0,31.10,11.82,1000
sustained_overload,EDF,268,4,1.49,74.10,58.52,1000
sustained_overload,Weighted_EDF,268,4,1.49,63.69,55.68,1000
sustained_overload,WSRT,256,3,1.17,56.99,15.69,1000
sustained_overload,RMS,268,4,1.49,74.10,58.52,1000
sustained_overload,LLF,268,4,1.49,74.10,58.52,1000
sustained_overload,PFS,185,23,12.43,79.19,59.08,1000
